l0_m,extension_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,available_joint_torque_nm,axial_force_per_leg_n,total_axial_force_n,total_mechanical_power_w
0.07,0.0,0.0,0.0,6.0,229.66074490140005,459.3214898028001,0.0
0.07,0.01,0.19138395408450012,1.827582139261232,6.0,229.66074490140005,459.3214898028001,4.593214898028001
0.07,0.02,0.38276790816900025,3.655164278522464,6.0,229.66074490140005,459.3214898028001,9.186429796056002
0.07,0.03,0.5741518622535003,5.482746417783694,6.0,229.66074490140005,459.3214898028001,13.779644694084002
0.07,0.04,0.7655358163380005,7.310328557044928,6.0,229.66074490140005,459.3214898028001,18.372859592112004
0.07,0.05,0.9569197704225006,9.13791069630616,6.0,229.66074490140005,459.3214898028001,22.966074490140006
0.07,0.06,1.1483037245070007,10.965492835567389,6.0,229.66074490140005,459.3214898028001,27.559289388168004
0.07,0.07,1.339687678591501,12.793074974828622,6.0,229.66074490140005,459.3214898028001,32.15250428619601
0.07,0.08,1.531071632676001,14.620657114089855,6.0,229.66074490140005,459.3214898028001,36.74571918422401
0.07,0.09,1.7224555867605011,16.448239253351087,6.0,229.66074490140005,459.3214898028001,41.33893408225201
0.07,0.1,1.9138395408450013,18.27582139261232,6.0,229.66074490140005,459.3214898028001,45.93214898028001
0.07,0.11,2.1052234949295014,20.10340353187355,6.0,229.66074490140005,459.3214898028001,50.52536387830801
0.07,0.12,2.2966074490140014,21.930985671134778,6.0,229.66074490140005,459.3214898028001,55.11857877633601
0.07,0.13,2.4879914030985018,23.758567810396013,6.0,229.66074490140005,459.3214898028001,59.71179367436402
0.07,0.14,2.679375357183002,25.586149949657244,6.0,229.66074490140005,459.3214898028001,64.30500857239203
0.07,0.15,2.8707593112675016,27.413732088918476,6.0,229.66074490140005,459.3214898028001,68.89822347042
0.07,0.16,3.062143265352002,29.24131422817971,6.0,229.66074490140005,459.3214898028001,73.49143836844802
0.07,0.17,3.2535272194365024,31.068896367440942,5.993128523352166,229.3977268271477,458.7954536542954,77.99522712123022
0.07,0.18,3.4449111735210023,32.896478506702174,5.981379781028343,228.94802267485707,457.89604534971414,82.42128816294854
0.07,0.19,3.636295127605502,34.724060645963405,5.969631038704521,228.49831852256648,456.99663704513296,86.82936103857526
0.07,0.2,3.8276790816900026,36.55164278522464,5.957882296380698,228.04861437027586,456.0972287405517,91.21944574811035
0.07,0.21,4.0190630357745025,38.37922492448587,5.9461335540568765,227.59891021798526,455.1978204359705,95.59154229155381
0.07,0.22,4.210446989859003,40.2068070637471,5.934384811733055,227.1492060656947,454.2984121313894,99.94565066890567
0.07,0.23,4.401830943943503,42.03438920300833,5.922636069409232,226.69950191340408,453.39900382680815,104.28177088016588
0.07,0.24,4.593214898028003,43.861971342269555,5.91088732708541,226.24979776111348,452.49959552222697,108.59990292533446
0.07,0.25,4.784598852112503,45.68955348153079,5.899138584761587,225.80009360882286,451.6001872176457,112.90004680441143
0.07,0.26,4.9759828061970035,47.517135620792025,5.8873898424377655,225.35038945653227,450.70077891306454,117.18220251739679
0.07,0.27,5.167366760281504,49.34471776005326,5.875641100113944,224.90068530424168,449.80137060848335,121.44637006429052
0.07,0.28,5.358750714366004,51.17229989931449,5.863892357790121,224.45098115195105,448.9019623039021,125.69254944509261
0.07,0.29,5.550134668450503,52.99988203857571,5.852143615466299,224.00127699966046,448.0025539993209,129.92074065980307
0.07,0.3,5.741518622535003,54.82746417783695,5.840394873142476,223.55157284736984,447.1031456947397,134.1309437084219
0.07,0.31,5.932902576619504,56.65504631709818,5.828646130818655,223.10186869507925,446.2037373901585,138.32315859094913
0.07,0.32,6.124286530704004,58.48262845635942,5.816897388494832,222.65216454278863,445.30432908557725,142.49738530738472
0.07,0.33,6.315670484788504,60.31021059562065,5.80514864617101,222.20246039049803,444.40492078099606,146.65362385772872
0.07,0.34,6.507054438873005,62.137792734881884,5.793399903847188,221.75275623820747,443.50551247641494,150.79187424198108
0.07,0.35000000000000003,6.698438392957505,63.96537487414312,5.7816511615233654,221.30305208591685,442.6061041718337,154.9121364601418
0.07,0.36,6.889822347042005,65.79295701340435,5.769902419199544,220.85334793362625,441.7066958672525,159.0144105122109
0.07,0.37,7.081206301126505,67.62053915266559,5.758153676875721,220.40364378133563,440.80728756267126,163.09869639818837
0.07,0.38,7.272590255211004,69.44812129192681,5.746404934551899,219.95393962904504,439.9078792580901,167.16499411807422
0.07,0.39,7.463974209295505,71.27570343118803,5.734656192228077,219.50423547675445,439.0084709535089,171.21330367186846
0.07,0.4,7.655358163380005,73.10328557044927,5.7229074499042545,219.05453132446382,438.10906264892765,175.24362505957106
0.07,0.41000000000000003,7.846742117464506,74.93086770971051,5.711158707580433,218.60482717217323,437.20965434434646,179.25595828118207
0.07,0.42,8.038126071549005,76.75844984897174,5.69940996525661,218.1551230198826,436.3102460397652,183.2503033367014
0.07,0.43,8.229510025633505,78.58603198823296,5.687661222932788,217.70541886759202,435.41083773518403,187.22666022612913
0.07,0.44,8.420893979718006,80.4136141274942,5.675912480608965,217.2557147153014,434.5114294306028,191.18502894946522
0.07,0.45,8.612277933802506,82.24119626675542,5.6641637382851435,216.80601056301083,433.61202112602166,195.12540950670976
0.07,0.46,8.803661887887007,84.06877840601666,5.652414995961322,216.35630641072024,432.7126128214405,199.04780189786263
0.07,0.47000000000000003,8.995045841971507,85.89636054527789,5.640666253637499,215.90660225842961,431.81320451685923,202.95220612292385
0.07,0.48,9.186429796056006,87.72394268453911,5.628917511313677,215.45689810613902,430.91379621227804,206.83862218189344
0.07,0.49,9.377813750140506,89.55152482380035,5.617168768989854,215.0071939538484,430.0143879076968,210.70705007477142
0.07,0.5,9.569197704225006,91.37910696306157,5.605420026666033,214.5574898015578,429.1149796031156,214.5574898015578
