zone,l0_mm,phi1_deg,phi4_deg,theta_bc_deg,theta_dc_deg,ax_mm,ay_mm,bx_mm,by_mm,cx_mm,cy_mm,dx_mm,dy_mm,ex_mm,ey_mm
short_end_exploration,47.0,223.69789172525046,-43.69789172525055,50.950138590309976,129.04986140968998,0.0,0.0,-36.14962836807005,-34.542790403359504,30.000000000000018,47.0,96.14962836807001,-34.542790403359554,60.0,0.0
short_end_exploration,48.0,218.05313589959127,-38.05313589959127,48.6478296491361,131.35217035086387,0.0,0.0,-39.3719726291787,-30.819600440096615,30.000000000000004,48.000000000000014,99.3719726291787,-30.819600440096618,60.0,0.0
short_end_exploration,49.0,213.9242358774545,-33.92423587745451,47.090223769989485,132.9097762300105,0.0,0.0,-41.48881434879603,-27.904807541553417,30.000000000000014,49.0,101.48881434879601,-27.904807541553442,60.0,0.0
short_end_exploration,50.0,210.54983148721016,-30.549831487210167,45.90871706803291,134.09128293196707,0.0,0.0,-43.0593708283888,-25.414377502966698,30.000000000000004,50.0,103.0593708283888,-25.4143775029667,60.0,0.0
short_end_exploration,51.0,207.64725340857794,-27.647253408577935,44.96538095353527,135.03461904646474,0.0,0.0,-44.29105924388968,-23.201337699672713,30.000000000000004,51.0,104.29105924388968,-23.20133769967272,60.0,0.0
short_end_exploration,52.0,205.0742746322778,-25.07427463227778,44.19033691427184,135.80966308572818,0.0,0.0,-45.287958501469824,-21.189639326075092,30.0,52.00000000000001,105.28795850146983,-21.189639326075078,60.0,0.0
short_end_exploration,53.0,202.74737146272548,-22.74737146272546,43.54229382150047,136.45770617849954,0.0,0.0,-46.110935584783434,-19.33343268785842,29.999999999999993,53.000000000000014,106.11093558478343,-19.333432687858405,60.0,0.0
short_end_exploration,54.0,200.6125589573,-20.612558957299992,42.994414221499405,137.0055857785006,0.0,0.0,-46.79911956337784,-17.602340983308583,30.000000000000004,54.00000000000001,106.79911956337784,-17.60234098330859,60.0,0.0
short_end_exploration,55.0,198.63257079351956,-18.63257079351956,42.52807897968105,137.47192102031894,0.0,0.0,-47.379346942611996,-15.974901667666183,29.999999999999993,54.99999999999999,107.37934694261199,-15.974901667666186,60.0,0.0
short_end_exploration,56.0,196.78041272994832,-16.780412729948292,42.12974088503561,137.8702591149644,0.0,0.0,-47.87091253398452,-14.435225428222576,30.000000000000007,55.99999999999998,107.87091253398454,-14.435225428222559,60.0,0.0
short_end_exploration,57.0,195.0357976590155,-15.035797659015486,41.78917875869805,138.21082124130194,0.0,0.0,-48.28819654961625,-12.97112462300896,29.999999999999996,57.00000000000001,108.28819654961625,-12.971124623008965,60.0,0.0
short_end_exploration,58.0,193.38302865346841,-13.383028653468415,41.49845725581559,138.5015427441844,0.0,0.0,-48.64222403121851,-11.572987570059354,30.000000000000004,58.00000000000002,108.6422240312185,-11.572987570059361,60.0,0.0
short_end_exploration,59.0,191.80967008516944,-11.809670085169449,41.251271783407375,138.7487282165926,0.0,0.0,-48.941643051748215,-10.23306285504326,29.999999999999996,59.000000000000014,108.9416430517482,-10.233062855043267,60.0,0.0
short_end_exploration,60.0,190.30567539726357,-10.305675397263562,41.042517171692836,138.95748282830718,0.0,0.0,-49.193366098311046,-8.94498361751112,30.000000000000004,60.00000000000001,109.19336609831105,-8.944983617511125,60.0,0.0
short_end_exploration,61.0,188.8627932340826,-8.8627932340826,40.86799309538566,139.13200690461434,0.0,0.0,-49.40300616860674,-7.7034395892097685,30.000000000000004,61.000000000000014,109.40300616860674,-7.703439589209775,60.0,0.0
short_end_exploration,62.0,187.47415049719123,-7.474150497191245,40.72419663970165,139.27580336029837,0.0,0.0,-49.57518242640205,-6.503943987224793,30.000000000000004,62.0,109.57518242640205,-6.5039439872248,60.0,0.0
short_end_exploration,63.0,186.1339518843347,-6.13395188433468,40.608172386717264,139.39182761328274,0.0,0.0,-49.7137400214436,-5.342663481852234,30.0,63.000000000000014,109.7137400214436,-5.342663481852218,60.0,0.0
short_end_exploration,64.0,184.83725845462786,-4.837258454627877,40.51740162426995,139.48259837573005,0.0,0.0,-49.82191171532793,-4.2162913834400015,30.000000000000018,64.0,109.82191171532793,-4.216291383440029,60.0,0.0
short_end_exploration,65.0,183.57982121649212,-3.579821216492099,40.449718862336155,139.55028113766386,0.0,0.0,-49.90243902439025,-3.1219512195121766,29.999999999999993,65.0,109.90243902439025,-3.1219512195121606,60.0,0.0
short_end_exploration,66.0,182.35795390251866,-2.3579539025186524,40.4032478457274,139.5967521542726,0.0,0.0,-49.957664560912455,-2.057122169282211,30.000000000000004,65.99999999999999,109.95766456091245,-2.0571221692822172,60.0,0.0
short_end_exploration,67.0,181.1684342147262,-1.1684342147262257,40.376351766100136,139.62364823389987,0.0,0.0,-49.98960347447317,-1.0195805338179464,30.000000000000014,67.0,109.98960347447317,-1.0195805338179635,60.0,0.0
short_end_exploration,68.0,180.00842612330638,-0.008426123306412498,40.367593999715695,139.63240600028428,0.0,0.0,-49.999999459307475,-0.007353179717251632,30.00000000000001,68.00000000000001,109.99999945930747,-0.007353179717291061,60.0,0.0
short_end_exploration,69.0,178.87541798199766,1.124582018002354,40.375706771928,139.624293228072,0.0,0.0,-49.990369184321445,0.981319935212249,30.00000000000001,69.0,109.99036918432145,0.9813199352122429,60.0,0.0
baseline_70_120,70.0,177.76717269571301,2.232827304286983,40.39956587646149,139.6004341235385,0.0,0.0,-49.962037915714824,1.9480162495921076,30.000000000000007,70.0,109.96203791571482,1.94801624959209,60.0,0.0
baseline_70_120,71.0,176.68168719049638,3.318312809503622,40.438170079351714,139.5618299206483,0.0,0.0,-49.91616835372537,2.8941556424191717,30.000000000000004,70.99999999999999,109.91616835372537,2.8941556424191655,60.0,0.0
baseline_70_120,72.0,175.6171591473811,4.382840852618892,40.490624189996616,139.50937581000338,0.0,0.0,-49.85378418028449,3.8210211862296792,30.000000000000004,72.00000000000003,109.85378418028449,3.821021186229673,60.0,0.0
baseline_70_120,73.0,174.57195946889732,5.428040531102688,40.55612503353334,139.44387496646667,0.0,0.0,-49.77578944051519,4.729776482403513,30.00000000000001,73.0,109.7757894405152,4.729776482403507,60.0,0.0
