l0_mm,group_a,entity_a,group_b,entity_b,adjacent,bbox_lower_bound_mm,distance_mm,common_volume_mm3,reference_common_volume_mm3,excess_common_volume_mm3
70.0,edulite_left_negative,00_1-1305_1_1,left_proximal_negative,大腿,True,0.0,5.684341886080802e-14,0.0,0.0,0.0
70.0,edulite_left_negative,100_1_1_1,left_proximal_negative,大腿,True,1.499999999999858,1.499999999999858,0.0,0.0,0.0
70.0,edulite_left_negative,000_1-4238_1_1,left_proximal_negative,大腿,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_negative,00_1-4459_1_1,left_proximal_negative,大腿,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_negative,00_1-4459_1_001,left_proximal_negative,大腿,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_negative,00_1-4459_1_002,left_proximal_negative,大腿,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_negative,200_1_1_1,left_proximal_negative,大腿,True,0.9999999999998579,3.1622776560914416,0.0,0.0,0.0
70.0,edulite_left_negative,00_1-8689_1_1,left_proximal_negative,大腿,True,0.9999999999998579,0.9999999999998579,0.0,0.0,0.0
70.0,edulite_left_negative,00_1-1305_1_1,left_distal_positive,小腿004,False,0.0,38.15891035007346,0.0,0.0,0.0
70.0,edulite_left_negative,100_1_1_1,left_distal_positive,小腿004,False,1.5,42.684095616294655,0.0,0.0,0.0
70.0,edulite_left_negative,000_1-4238_1_1,left_distal_positive,小腿004,False,0.0,45.16049904336147,0.0,0.0,0.0
70.0,edulite_left_negative,00_1-8689_1_1,left_distal_positive,小腿004,False,1.0,42.26956155129445,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-1305_1_1,left_proximal_positive,大腿垫高,True,1.4210854715202004e-14,2.549509752159824,0.0,0.0,0.0
70.0,edulite_left_positive,100_1_1_1,left_proximal_positive,大腿垫高,True,1.5000000000000142,1.5000000000000142,0.0,0.0,0.0
70.0,edulite_left_positive,000_1-4238_1_1,left_proximal_positive,大腿垫高,True,1.4210854715202004e-14,0.0,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-4459_1_1,left_proximal_positive,大腿垫高,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-4459_1_001,left_proximal_positive,大腿垫高,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-4459_1_002,left_proximal_positive,大腿垫高,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_left_positive,200_1_1_1,left_proximal_positive,大腿垫高,True,1.0000000000000142,3.1622776556826375,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-8689_1_1,left_proximal_positive,大腿垫高,True,1.0000000000000142,2.147091051174159,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-1305_1_1,left_distal_positive,小腿004,False,0.0,0.9151696463916381,0.0,0.0,0.0
70.0,edulite_left_positive,100_1_1_1,left_distal_positive,小腿004,False,1.5,5.570363324356984,0.0,0.0,0.0
70.0,edulite_left_positive,000_1-4238_1_1,left_distal_positive,小腿004,False,0.0,7.88047931781363,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-4459_1_1,left_distal_positive,小腿004,False,0.0,20.33424868221644,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-4459_1_001,left_distal_positive,小腿004,False,0.0,30.178644511550687,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-4459_1_002,left_distal_positive,小腿004,False,0.0,15.080910833761854,0.0,0.0,0.0
70.0,edulite_left_positive,200_1_1_1,left_distal_positive,小腿004,False,1.0,18.891087417518754,0.0,0.0,0.0
70.0,edulite_left_positive,00_1-8689_1_1,left_distal_positive,小腿004,False,1.0,5.064313032508736,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-1305_1_1,right_proximal_negative,大腿垫高001,True,2.842170943040401e-14,2.5495097528857595,0.0,0.0,0.0
70.0,edulite_right_negative,100_1_1_1,right_proximal_negative,大腿垫高001,True,1.5000000000000284,1.5000000000000284,0.0,0.0,0.0
70.0,edulite_right_negative,000_1-4238_1_1,right_proximal_negative,大腿垫高001,True,2.842170943040401e-14,0.0,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-4459_1_1,right_proximal_negative,大腿垫高001,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-4459_1_001,right_proximal_negative,大腿垫高001,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-4459_1_002,right_proximal_negative,大腿垫高001,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_right_negative,200_1_1_1,right_proximal_negative,大腿垫高001,True,1.0000000000000284,3.162277656235246,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-8689_1_1,right_proximal_negative,大腿垫高001,True,1.0000000000000284,2.1470910512892285,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-1305_1_1,right_distal_negative,小腿010,False,0.0,0.9151696465516213,0.0,0.0,0.0
70.0,edulite_right_negative,100_1_1_1,right_distal_negative,小腿010,False,1.5,5.570363324520072,0.0,0.0,0.0
70.0,edulite_right_negative,000_1-4238_1_1,right_distal_negative,小腿010,False,0.0,7.880479317982636,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-4459_1_1,right_distal_negative,小腿010,False,0.0,20.334248682367832,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-4459_1_001,right_distal_negative,小腿010,False,0.0,30.178644511726286,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-4459_1_002,right_distal_negative,小腿010,False,0.0,15.080910833942914,0.0,0.0,0.0
70.0,edulite_right_negative,200_1_1_1,right_distal_negative,小腿010,False,1.0,18.891087417687874,0.0,0.0,0.0
70.0,edulite_right_negative,00_1-8689_1_1,right_distal_negative,小腿010,False,1.0,5.064313032674749,0.0,0.0,0.0
70.0,edulite_right_positive,00_1-1305_1_1,right_proximal_positive,大腿002,True,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0
70.0,edulite_right_positive,100_1_1_1,right_proximal_positive,大腿002,True,1.5000000000000142,1.5000000000000142,0.0,0.0,0.0
70.0,edulite_right_positive,000_1-4238_1_1,right_proximal_positive,大腿002,True,1.4210854715202004e-14,0.0,0.0,0.0,0.0
70.0,edulite_right_positive,00_1-4459_1_1,right_proximal_positive,大腿002,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_right_positive,00_1-4459_1_001,right_proximal_positive,大腿002,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_right_positive,00_1-4459_1_002,right_proximal_positive,大腿002,True,0.0,0.0,0.0,0.0,0.0
70.0,edulite_right_positive,200_1_1_1,right_proximal_positive,大腿002,True,1.0000000000000142,3.1622776560913275,0.0,0.0,0.0
70.0,edulite_right_positive,00_1-8689_1_1,right_proximal_positive,大腿002,True,1.0000000000000142,1.0000000000000142,0.0,0.0,0.0
70.0,edulite_right_positive,00_1-1305_1_1,right_distal_negative,小腿010,False,0.0,38.158910350432166,0.0,0.0,0.0
70.0,edulite_right_positive,100_1_1_1,right_distal_negative,小腿010,False,1.5,42.684095616653146,0.0,0.0,0.0
70.0,edulite_right_positive,000_1-4238_1_1,right_distal_negative,小腿010,False,0.0,45.16049904372015,0.0,0.0,0.0
70.0,edulite_right_positive,00_1-8689_1_1,right_distal_negative,小腿010,False,1.0,42.26956155165306,0.0,0.0,0.0
