l0_mm,group_a,entity_a,group_b,entity_b,adjacent,bbox_lower_bound_mm,distance_mm,common_volume_mm3,reference_common_volume_mm3,excess_common_volume_mm3
70.0,fixed,电池架,edulite_left_negative,00_1-13413_1_1,False,0.0,0.0,2.027346244760106,0.0,2.027336244760106
70.0,fixed,电池架,edulite_left_negative,1000_1-541385_1_1,False,0.0,0.0,58.6892365837266,0.0,58.689226583726594
70.0,fixed,电池架,edulite_left_negative,PRT0001_1,False,1.010003113577227,1.0100031999999999,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱,edulite_left_negative,00_1-13413_1_1,False,0.6864537348087509,3.486453734808755,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱,edulite_left_negative,1000_1-541385_1_1,False,0.0,0.0,6.126306643689396,0.0,6.126296643689396
70.0,fixed,主控支撑铜柱003,edulite_left_negative,00_1-13413_1_1,False,0.6928455752608542,2.771242868161109,0.0,0.0,0.0
70.0,fixed,主控支撑铜柱003,edulite_left_negative,1000_1-541385_1_1,False,0.0,0.0,77.11140053061939,0.0,77.11139053061939
70.0,fixed,主控支架,edulite_left_negative,1000_1-541385_1_1,False,1.1906898341671663,3.0000000039976555,0.0,0.0,0.0
70.0,fixed,NanoPi支架,edulite_left_negative,00_1-13413_1_1,False,0.0,0.0,11.494973914281102,0.0,11.494963914281103
70.0,fixed,NanoPi支架,edulite_left_negative,1000_1-541385_1_1,False,0.0,0.0,70.48512325881002,0.0,70.48511325881002
70.0,fixed,NanoPi支架,edulite_left_negative,PRT0001_1,False,1.010003113577227,1.0100031999999999,0.0,0.0,0.0
70.0,fixed,NanoPi支架,edulite_left_negative,LUOSI_1_003,False,0.0,0.0,7.774972162816608,0.0,7.774962162816609
70.0,fixed,电池支撑铜柱005,edulite_left_negative,00_1-13413_1_1,False,0.7765634194177409,3.1696085819470743,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱005,edulite_left_negative,1000_1-541385_1_1,False,0.0,0.0,17.128316953203473,0.0,17.128306953203474
70.0,fixed,电池架,edulite_left_positive,00_1-13413_1_1,False,0.0,0.0,1.9485085588300108,0.0,1.9484985588300108
70.0,fixed,电池架,edulite_left_positive,1000_1-541385_1_1,False,0.0,0.0,52.91347918114139,0.0,52.91346918114139
70.0,fixed,电池架,edulite_left_positive,PRT0001_1,False,1.010003113577227,1.0100032000000034,0.0,0.0,0.0
70.0,fixed,电池架,edulite_left_positive,LUOSI_1_002,False,0.0,0.0,4.159399637349708,0.0,4.159389637349708
70.0,fixed,电池支撑铜柱001,edulite_left_positive,00_1-13413_1_1,False,0.6864537348087616,3.486453734808766,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱001,edulite_left_positive,1000_1-541385_1_1,False,0.0,0.0,6.126306685893842,0.0,6.126296685893842
70.0,fixed,主控支撑铜柱,edulite_left_positive,00_1-13413_1_1,False,0.6878394571540873,2.8397069405727877,0.0,0.0,0.0
70.0,fixed,主控支撑铜柱,edulite_left_positive,1000_1-541385_1_1,False,0.0,0.0,76.65418671749897,0.0,76.65417671749897
70.0,fixed,主控支架,edulite_left_positive,1000_1-541385_1_1,False,1.1906898341671663,3.0000000039976555,0.0,0.0,0.0
70.0,fixed,NanoPi支架,edulite_left_positive,00_1-13413_1_1,False,0.0,0.0,9.771841960545471,0.0,9.771831960545471
70.0,fixed,NanoPi支架,edulite_left_positive,1000_1-541385_1_1,False,0.0,0.0,64.34906838724193,0.0,64.34905838724193
70.0,fixed,NanoPi支架,edulite_left_positive,PRT0001_1,False,1.010003113577227,1.0100032000000034,0.0,0.0,0.0
70.0,fixed,NanoPi支架,edulite_left_positive,LUOSI_1_1,False,0.0,0.0,4.235945602448464,0.0,4.235935602448464
70.0,fixed,电池支撑铜柱004,edulite_left_positive,00_1-13413_1_1,False,0.7765634194177409,2.8892293416265606,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱004,edulite_left_positive,1000_1-541385_1_1,False,0.0,0.0,17.040389932948823,0.0,17.040379932948824
70.0,fixed,电池架,edulite_right_negative,00_1-13413_1_1,False,0.0,0.0,1.9485085588261757,0.0,1.9484985588261756
70.0,fixed,电池架,edulite_right_negative,1000_1-541385_1_1,False,0.0,0.0,52.91347969975787,0.0,52.91346969975787
70.0,fixed,电池架,edulite_right_negative,PRT0001_1,False,1.0100031135772092,1.0100031999999892,0.0,0.0,0.0
70.0,fixed,电池架,edulite_right_negative,LUOSI_1_002,False,0.0,0.0,4.159401165322025,0.0,4.159391165322026
70.0,fixed,电池支撑铜柱002,edulite_right_negative,00_1-13413_1_1,False,0.6864537348087509,3.486453734808755,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱002,edulite_right_negative,1000_1-541385_1_1,False,0.0,0.0,6.126306685894009,0.0,6.126296685894009
70.0,fixed,主控支撑铜柱002,edulite_right_negative,00_1-13413_1_1,False,0.6928455752608507,2.877119185739599,0.0,0.0,0.0
70.0,fixed,主控支撑铜柱002,edulite_right_negative,1000_1-541385_1_1,False,0.0,0.0,77.16281775494846,0.0,77.16280775494846
70.0,fixed,主控支架,edulite_right_negative,1000_1-541385_1_1,False,1.1906898341671663,3.000000003997656,0.0,0.0,0.0
70.0,fixed,NanoPi支架,edulite_right_negative,00_1-13413_1_1,False,0.0,0.0,9.771841960515761,0.0,9.771831960515762
70.0,fixed,NanoPi支架,edulite_right_negative,1000_1-541385_1_1,False,0.0,0.0,64.349068446069,0.0,64.349058446069
70.0,fixed,NanoPi支架,edulite_right_negative,PRT0001_1,False,1.0100031135772092,1.0100031999999892,0.0,0.0,0.0
70.0,fixed,NanoPi支架,edulite_right_negative,LUOSI_1_1,False,0.0,0.0,4.235992857583841,0.0,4.235982857583841
70.0,fixed,电池支撑铜柱007,edulite_right_negative,00_1-13413_1_1,False,0.7765634194177409,2.889229341626567,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱007,edulite_right_negative,1000_1-541385_1_1,False,0.0,0.0,17.040389932949214,0.0,17.040379932949214
70.0,fixed,电池架,edulite_right_positive,00_1-13413_1_1,False,0.0,0.0,2.027346244753805,0.0,2.027336244753805
70.0,fixed,电池架,edulite_right_positive,1000_1-541385_1_1,False,0.0,0.0,58.68923698927394,0.0,58.689226989273934
70.0,fixed,电池架,edulite_right_positive,PRT0001_1,False,1.0100031135772092,1.0100031999999821,0.0,0.0,0.0
70.0,fixed,电池支撑铜柱003,edulite_right_positive,00_1-13413_1_1,False,0.6864537348087367,3.486453734808741,0.0,0.0,0.0
