l0_mm,state,minimum_nonadjacent_clearance_mm,minimum_clearance_pair,maximum_excess_common_volume_mm3,maximum_excess_pair
70.0,CLEAR,0.9849075000606671,fixed:4010电机001 / left_distal_positive:小腿004,0.0,
71.0,CLEAR,1.6274765222842764,fixed:4010电机001 / left_distal_positive:小腿004,0.0,
72.0,CLEAR,2.2831702507088094,fixed:4010电机001 / left_distal_positive:小腿004,0.0,
73.0,CLEAR,2.9365234279720975,fixed:4010电机001 / left_distal_positive:小腿004,0.0,
74.0,CLEAR,3.581283736295806,fixed:4010电机001 / left_distal_positive:小腿004,0.0,
75.0,CLEAR,4.21458272546127,fixed:4010电机001 / left_distal_positive:小腿004,0.0,
76.0,CLEAR,4.834987773940231,fixed:4010电机001 / left_distal_positive:小腿004,0.0,
77.0,CLEAR,5.441741951229455,fixed:4010电机001 / left_distal_positive:小腿004,0.0,
78.0,CLEAR,6.034429715323253,fixed:4010电机001 / left_distal_positive:小腿004,0.0,
79.0,CLEAR,6.5,fixed:底板 / left_distal_positive:小腿004,0.0,
80.0,CLEAR,6.5,fixed:底板 / left_distal_positive:小腿004,0.0,
81.0,CLEAR,6.499999999999993,fixed:底板 / left_distal_positive:小腿004,0.0,
82.0,CLEAR,6.499999999999993,fixed:底板 / left_distal_positive:小腿004,0.0,
83.0,CLEAR,6.499999999999993,fixed:底板 / left_distal_positive:小腿004,0.0,
84.0,CLEAR,6.499999999999993,fixed:底板 / left_distal_positive:小腿004,0.0,
85.0,CLEAR,6.499999999999993,fixed:底板 / left_distal_positive:小腿004,0.0,
86.0,CLEAR,6.499999999999993,fixed:底板 / left_distal_positive:小腿004,0.0,
87.0,CLEAR,6.499999999999993,fixed:底板 / left_distal_positive:小腿004,0.0,
88.0,CLEAR,6.4589450085205105,fixed:底板 / right_distal_negative:小腿009,0.0,
89.0,CLEAR,5.967549906409567,fixed:底板 / right_distal_negative:小腿009,0.0,
90.0,CLEAR,5.5301124507267305,fixed:底板 / right_distal_negative:小腿009,0.0,
91.0,CLEAR,5.156871483397936,fixed:底板 / right_distal_negative:小腿009,0.0,
92.0,CLEAR,4.858824834351146,fixed:底板 / right_distal_negative:小腿009,0.0,
93.0,CLEAR,4.6462923682436275,fixed:底板 / right_distal_negative:小腿009,0.0,
94.0,CLEAR,4.526795911061218,fixed:底板 / right_distal_negative:小腿009,0.0,
95.0,CLEAR,4.499999999999993,fixed:底板 / left_distal_positive:小腿003,0.0,
96.0,CLEAR,4.499999999999993,fixed:底板 / left_distal_positive:小腿003,0.0,
97.0,CLEAR,4.499999999999993,fixed:底板 / left_distal_positive:小腿003,0.0,
98.0,CLEAR,4.1820799601946215,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
99.0,CLEAR,3.7078561213138985,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
100.0,CLEAR,3.2768916386990004,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
101.0,CLEAR,2.880296409831183,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
102.0,CLEAR,2.5219739286477623,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
103.0,CLEAR,2.206073611498126,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
104.0,CLEAR,1.9368450456076987,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
105.0,CLEAR,1.7184289400294537,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
106.0,CLEAR,1.554592248351391,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
107.0,CLEAR,1.4557972253252949,fixed:底板 / right_distal_negative:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C003,0.0,
