l0_mm,state,minimum_nonadjacent_clearance_mm,minimum_clearance_pair,maximum_excess_common_volume_mm3,maximum_excess_pair
121.0,CLEAR,2.045714016215012,fixed:底板 / left_distal_positive:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C001,0.0,
123.0,CLEAR,2.5106320172153755,fixed:底板 / left_distal_positive:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C001,0.0,
125.0,CLEAR,3.064088069858939,fixed:底板 / left_distal_positive:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C001,0.0,
127.0,CLEAR,3.689432680773898,fixed:底板 / left_distal_positive:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C001,0.0,
129.0,CLEAR,4.427702081748739,fixed:底板 / left_distal_positive:cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C001,0.0,
131.0,CLEAR,4.499999999999993,fixed:底板 / left_distal_positive:小腿003,0.0,
133.0,CLEAR,4.499999999999993,fixed:底板 / left_distal_positive:小腿003,0.0,
135.0,CLEAR,4.515851656686131,fixed:底板 / left_distal_positive:小腿003,0.0,
137.0,CLEAR,4.685143168662778,fixed:底板 / left_distal_positive:小腿003,0.0,
139.0,CLEAR,5.008553175886657,fixed:底板 / left_distal_positive:小腿003,0.0,
141.0,CLEAR,5.440122823916298,fixed:底板 / left_distal_positive:小腿003,0.0,
143.0,CLEAR,5.934519556327432,fixed:底板 / left_distal_positive:小腿003,0.0,
145.0,CLEAR,6.4495844378197535,fixed:底板 / left_distal_positive:小腿003,0.0,
147.0,CLEAR,6.940961589847081,fixed:底板 / left_distal_positive:小腿003,0.0,
149.0,CLEAR,7.3439620924635465,fixed:底板 / left_distal_positive:小腿003,0.0,
151.0,CLEAR,7.485214222800158,fixed:底板 / left_distal_positive:小腿003,0.0,
152.0,CLEAR,7.047245836364923,fixed:底板 / left_distal_positive:小腿003,0.0,
